,Name:,Attacking Prowess:,Ball Control:,Dribbling:,Low Pass:,Lofted Pass:,Finishing:,Place Kicking:,Swerve:,Header:,Defensive Prowess:,Ball Winning:,Kicking Power:,Speed:,Explosive Power:,Unwavering Balance:,Physical Contact:,Jump:,Stamina:
783,['H. AOUAR'],79,83,84,82,77,67,64,75,65,60,56,67,79,82,84,64,66,72
784,['P. SISTO'],74,79,82,70,68,77,75,75,60,51,60,80,85,85,84,65,80,82
785,['M. SARR'],59,72,70,74,72,50,55,60,79,80,80,55,80,78,73,80,90,85
786,['A. FRANCO'],61,67,69,72,68,61,56,60,73,78,82,72,80,77,75,84,85,82
787,['S. BERGE'],66,77,72,81,76,60,62,70,76,73,78,81,79,78,70,86,68,84
788,['S. HANNI'],77,84,85,80,76,73,74,75,62,55,47,77,73,76,83,63,68,77
789,['O. YOKUŞLU'],69,79,73,78,74,68,66,73,77,73,76,79,74,72,61,85,72,84
790,['S. LOBOTKA'],68,82,77,83,74,59,65,69,67,68,72,64,69,74,86,62,81,87
791,['M. GREGORITSCH'],78,81,75,73,70,79,77,75,78,56,45,86,80,76,77,82,79,74
792,['F. GRILLITSCH'],72,79,76,83,79,67,74,70,71,78,74,72,76,73,65,79,63,80
793,['G. DZHIKIYA'],62,66,70,71,77,65,70,70,81,78,84,83,75,77,67,85,77,77
794,['P. GROSS'],74,78,78,83,83,72,80,82,63,63,65,79,72,70,75,76,74,87
795,['M. MOUNT'],78,83,80,80,75,71,78,80,64,54,55,75,74,83,85,64,61,76
796,['N. VLAŠIĆ'],73,80,83,80,75,73,74,73,64,58,55,80,79,82,79,72,71,84
797,['L. TROSSARD'],80,83,81,74,71,79,69,85,62,48,48,81,86,88,87,65,66,75
798,['A. MARTYNOVICH'],56,64,61,79,77,56,62,67,84,84,80,77,70,63,74,85,82,80
799,['M. PLATTENHARDT'],67,82,74,77,81,73,84,86,68,69,67,83,77,73,70,72,68,79
800,['K. PIĄTEK'],84,76,71,69,66,85,66,69,84,46,48,84,80,76,70,82,82,78
801,['G. MORENO'],77,82,80,75,70,77,73,73,81,49,50,80,75,79,78,81,83,85
802,['O. ABDULRAHMAN'],77,80,86,80,79,72,77,74,63,50,56,70,80,82,78,65,62,76
803,"[""A. D'ALESSANDRO""]",75,88,87,80,81,70,81,82,60,50,50,71,71,75,78,64,49,72
804,['S. IGNASHEVICH'],55,69,59,77,80,56,75,60,84,84,80,81,63,61,73,83,77,75
805,['G. CLICHY'],70,78,73,78,74,53,54,65,70,83,75,65,80,80,76,65,71,82
806,['S. SCHAARS'],73,80,75,77,78,65,81,78,68,71,70,77,68,72,68,74,63,78
807,['I. ABATE'],70,75,76,75,72,58,57,69,64,72,74,68,87,82,74,70,73,77
808,['R. MONTOLIVO'],72,83,73,82,84,67,75,77,61,72,68,83,65,62,80,67,61,67
809,['NENÊ'],76,84,82,79,83,78,81,81,60,42,42,78,70,73,78,67,60,68
810,['S. DAVIS'],69,78,75,81,78,63,70,74,67,71,73,73,70,70,77,68,81,87
811,['S. NASRI'],76,84,82,80,78,73,79,78,61,54,56,75,76,80,89,65,60,72
812,['G. PELLÈ'],83,81,70,74,70,81,60,68,88,52,48,84,62,60,64,90,88,76
813,['FRED'],89,72,70,70,65,86,75,70,84,52,52,78,68,67,67,83,78,70
814,['K. EL AHMADI'],71,77,73,78,75,71,69,71,71,78,79,80,70,72,73,77,76,84
815,['S. OKAZAKI'],83,78,77,74,67,76,60,64,76,54,54,79,75,80,71,71,91,84
816,['FÁBIO SANTOS'],70,80,80,74,76,66,77,73,60,68,67,80,71,74,74,78,71,80
817,['J. OBI MIKEL'],67,77,73,78,74,64,68,74,78,83,81,75,66,66,67,88,80,88
818,['R. KLAVAN'],59,72,63,74,75,58,56,60,83,84,82,72,70,68,61,84,81,77
819,['K. BOATENG'],78,79,76,76,72,76,70,74,78,61,71,83,77,74,84,82,75,75
820,['P. ZABALETA'],71,75,73,72,75,59,66,68,75,80,81,71,72,72,65,78,82,76
821,['S. BROWN'],59,75,70,82,77,62,68,70,69,81,83,75,70,71,74,84,82,88
822,['L. DE SILVESTRI'],73,72,72,71,76,70,60,68,80,72,70,73,77,76,66,78,83,81
823,['C. ZAPATA'],58,64,59,67,70,60,59,65,83,82,84,69,74,73,73,86,82,69
824,['MARIO SUÁREZ'],69,80,75,81,81,67,71,71,70,81,77,80,69,68,67,77,68,75
825,['SOLDADO'],83,78,77,78,70,77,70,80,79,50,52,82,74,72,75,75,73,73
826,['F. GUARÍN'],72,78,81,79,74,70,80,70,62,60,65,87,75,74,70,85,72,83
827,['O. AHMEDOV'],71,78,73,79,72,71,69,63,66,76,73,83,71,75,82,71,84,84
828,['P. BAYSSE'],64,74,68,76,78,58,58,65,81,81,80,74,69,64,73,78,80,81
829,['P. JAGIELKA'],58,72,64,72,75,66,64,59,81,81,82,78,70,69,66,88,80,73
830,['JOSÉ FONTE'],63,70,68,71,67,60,61,62,83,84,84,67,68,65,64,85,82,75
831,['J. LENS'],75,76,82,75,75,75,72,70,66,48,46,80,84,83,77,80,73,75
832,['V. BIRSA'],76,80,80,79,77,73,77,78,65,53,55,84,77,76,72,76,73,77
833,['A. OGBONNA'],53,64,67,70,69,55,58,61,81,84,85,72,73,70,69,85,79,76
834,['M. SULEJMANI'],74,85,78,77,80,73,83,88,61,52,50,85,79,77,77,64,65,73
835,['A. CARROLL'],84,77,70,68,66,79,62,55,90,52,52,85,72,68,70,90,87,78
836,['D. MBOKANI'],85,77,75,78,62,78,52,56,81,50,50,84,80,75,67,85,81,75
837,['N. BERTOLO'],77,82,83,74,77,74,69,76,71,51,52,77,80,83,78,75,70,72
838,['ALEXANDRE PATO'],78,79,80,74,67,79,73,78,74,46,49,78,82,84,70,72,78,70
839,['M. PEREIRA'],76,74,72,73,71,66,69,71,68,76,77,75,72,76,80,81,74,79
840,['S. DEFOUR'],65,79,75,80,79,64,76,75,65,76,77,72,68,70,78,68,68,82
841,['BŁASZCZYKOWSKI'],77,81,77,79,76,70,69,77,64,68,69,79,80,82,81,74,69,77
842,['J. SOSA'],72,83,79,81,83,66,84,84,60,57,60,80,75,72,75,65,62,73
843,['A. EPUREANU'],64,72,66,76,75,58,52,65,83,86,80,70,71,69,73,88,72,82
844,['M. SUCHÝ'],66,74,65,72,69,58,56,51,82,81,83,72,74,71,65,83,81,80
845,['G. GÖNÜL'],76,75,77,81,73,71,54,65,66,75,85,70,80,83,71,64,58,83
846,['ARI'],82,78,77,76,72,77,75,69,80,52,49,83,79,71,70,82,72,77
847,['N. AMRABAT'],76,80,82,76,74,75,68,76,63,54,57,80,81,83,77,70,67,75
848,['A. AYEW'],81,80,79,77,75,75,59,67,82,58,59,74,78,78,79,68,83,79
849,['M. SISSOKO'],74,72,74,75,73,69,74,73,68,74,69,83,85,84,60,85,76,83
850,['R. SHAWCROSS'],55,64,62,65,71,55,55,56,87,86,84,74,63,63,67,90,82,81
851,['SAN JOSÉ'],64,75,66,80,82,62,64,70,83,78,80,78,70,71,61,84,84,79
852,['E. CAPOUE'],70,76,74,79,77,66,58,66,71,76,80,78,64,66,66,80,75,90
853,['G. CABRAL'],60,68,59,75,63,66,58,61,82,83,84,73,63,65,66,83,86,80
854,['M. FELLAINI'],80,83,74,80,68,73,62,65,90,72,76,76,65,65,63,92,71,85
855,['T. RINCÓN'],66,75,74,75,73,66,60,64,69,82,80,80,75,75,75,80,78,88
856,['D. CVITANICH'],84,81,78,74,65,82,65,66,81,50,46,73,72,76,81,73,77,70
857,['D. JANMAAT'],75,76,74,70,72,56,59,64,69,73,78,77,77,75,68,76,74,84
858,['P. PIATTI'],77,77,81,76,77,75,68,80,61,56,58,63,85,88,81,62,68,74
859,['C. KABORÉ'],60,75,67,81,80,61,63,70,72,81,82,77,75,77,68,83,73,81
860,['D. SANTON'],72,76,75,77,76,68,65,73,67,75,74,76,76,69,65,74,76,77
861,['O. IGHALO'],84,77,81,64,60,78,63,65,73,51,55,73,81,80,70,81,80,74
862,['G. KAKUTA'],70,83,87,76,77,67,70,83,60,43,42,77,82,87,84,65,66,77
863,['KI SUNG-YUENG'],75,81,77,85,81,72,76,75,71,60,70,82,69,67,72,74,69,76
864,['L. ORBÁN'],64,74,71,73,68,62,58,62,78,78,82,73,79,76,66,79,82,81
865,['N. ROUX'],83,75,76,73,68,82,63,70,81,55,43,82,76,72,72,74,79,77
866,['J. KUCKA'],72,76,73,80,77,69,70,67,76,71,77,85,70,70,64,87,87,83
867,['C. ANSALDI'],70,75,78,73,78,60,66,69,67,74,75,75,79,80,72,71,68,82
868,['S. RONDÓN'],82,79,77,70,60,81,62,63,87,45,43,86,79,78,59,92,73,73
869,['C. BORGES'],72,78,73,79,82,75,70,68,79,78,76,80,66,66,68,77,73,85
870,['V. WEISS'],72,80,85,73,74,72,68,72,63,54,44,78,86,87,85,60,64,74
871,['M. RITCHIE'],78,78,80,73,81,74,72,73,60,61,59,78,77,80,85,66,73,80
872,['S. DANN'],70,72,60,70,70,68,55,65,86,83,82,70,66,64,70,85,79,78
873,['N. VIERGEVER'],75,74,72,73,71,65,56,60,78,80,78,75,76,71,75,78,80,78
874,['DE MARCOS'],74,73,79,73,72,67,55,63,66,66,74,70,83,80,71,72,74,83
875,['M. GONALONS'],63,75,70,77,76,67,61,65,74,81,81,78,72,73,69,78,78,79
876,['A. DRAGOVIĆ'],58,74,59,76,64,55,59,63,78,83,86,71,78,75,60,84,82,76
877,['J. TOORNSTRA'],78,77,75,78,78,75,78,77,67,63,52,78,75,73,75,72,70,82
878,['K. BABACAR'],83,78,76,68,58,79,62,69,80,48,50,85,79,77,65,85,77,78
879,['F. BORINI'],72,80,78,77,76,69,62,70,74,67,66,76,81,80,70,66,75,84
880,['JUANMI'],83,81,80,77,73,79,59,65,75,55,58,70,76,78,83,61,76,74
881,['J. CORK'],69,78,74,78,78,63,63,70,76,77,76,74,64,67,70,76,73,85
882,['T. CAIRNEY'],75,81,77,82,76,67,74,74,63,65,64,77,72,76,78,70,65,80
883,['GIL'],62,70,63,71,72,55,59,64,81,83,80,73,64,65,67,87,83,83
884,['F. FERREYRA'],82,79,74,69,61,84,55,69,83,44,47,79,78,70,74,81,81,77
885,['M. PEREYRA'],74,81,78,83,80,70,82,81,64,60,63,74,75,74,75,64,67,82
886,['E.CHOUPO-MOTING'],77,83,87,77,65,75,73,73,75,49,46,79,82,79,76,77,80,77
887,['KIKO FEMENÍA'],72,75,76,70,68,65,60,62,65,72,72,68,87,88,80,69,67,80
888,['B. MARTINS INDI'],62,69,63,71,72,60,60,55,80,83,83,66,70,68,74,90,78,80
889,['A. ADEMI'],67,74,66,78,73,65,61,64,79,77,83,80,75,72,70,83,75,86
890,['J. GUÐMUNDSSON'],80,78,79,77,80,68,76,80,63,54,51,83,80,81,76,72,75,80
891,['J. MCARTHUR'],68,82,73,85,76,64,69,63,72,75,75,66,73,70,75,77,65,87
892,['N. BLANDI'],82,74,73,70,69,78,64,67,82,56,53,80,75,76,81,81,83,80
893,['SERGI GÓMEZ'],58,76,59,80,78,49,51,66,82,88,85,55,69,74,62,79,79,82
894,['S. ROMERO'],80,78,79,78,72,73,68,77,72,51,65,77,75,82,76,78,76,71
895,['I. STRINIĆ'],71,78,74,75,72,61,63,67,63,71,75,72,79,78,76,73,74,80
896,['A. SCHÜRRLE'],78,76,78,75,74,75,70,79,66,52,54,84,78,83,76,68,73,77
897,['N. ISIMAT-MIRIN'],60,69,64,76,69,59,56,53,81,84,82,75,73,72,58,86,82,78
898,['P. HERNÁNDEZ'],74,81,80,81,80,68,67,77,67,66,73,81,76,69,66,80,72,73
899,['I. DAMONTE'],70,76,77,75,76,64,62,68,72,77,74,77,72,77,80,74,72,82
900,['C. CUEVA'],76,81,82,79,77,70,75,78,62,56,50,74,78,83,84,67,70,74
901,['A. LIMBOMBE'],77,79,81,70,81,73,67,70,60,50,51,79,83,87,82,61,81,78
902,['J. CAMPBELL'],75,81,82,75,70,71,69,78,60,45,47,80,85,87,77,73,76,69
903,['J. ALLEN'],70,79,77,81,77,68,62,65,60,76,77,68,68,72,90,65,79,85
904,['MIKEL RICO'],74,78,74,84,76,68,70,63,66,73,84,79,68,70,67,82,74,79
905,['L. MURIEL'],81,80,82,73,63,75,68,70,67,49,54,82,84,84,82,70,64,74
906,['J. SVENSSON'],70,75,73,76,75,67,58,61,63,72,76,74,79,80,86,74,69,81
907,['ERIC BOTTEGHIN'],62,65,68,73,68,55,57,55,83,82,83,76,67,69,77,85,80,77
908,['B. OCZIPKA'],68,74,73,72,81,60,74,80,67,70,75,75,78,77,68,77,72,82
909,['ANDRÉ ALMEIDA'],67,77,75,80,76,42,50,64,71,80,80,72,77,75,75,76,75,85
910,['F. RINAUDO'],69,76,73,77,80,65,63,73,68,76,74,77,70,69,80,77,72,80
911,['D. SUÁREZ'],68,69,73,74,75,63,78,79,62,78,69,69,82,79,77,67,67,85
912,['CAMPAÑA'],74,84,78,82,79,61,83,72,61,69,71,76,67,69,67,75,65,78
913,['S. MEÏTÉ'],68,76,77,75,72,67,64,62,77,78,78,82,74,75,72,82,80,82
914,['C. CAVLAN'],74,74,76,72,73,68,65,73,67,70,68,77,82,81,68,71,75,77
915,['PEDRO MENDES'],56,70,64,71,76,59,64,66,77,81,81,73,77,76,66,82,80,80
916,['O. MURILLO'],59,66,63,66,70,62,57,60,80,84,82,68,75,71,66,85,87,71
917,['D. ROLAN'],78,78,80,75,73,75,69,75,72,60,50,78,83,83,79,71,78,79
918,['RÉVER'],60,71,66,71,70,57,62,52,84,84,82,73,70,66,70,81,85,74
919,['V. BERISHA'],75,80,83,75,74,70,65,72,61,50,50,77,83,83,69,79,64,85
920,['EDÍLSON'],73,75,77,75,78,72,80,76,64,67,66,88,77,78,68,74,68,76
921,['PABLO'],56,66,63,65,65,61,57,59,82,81,82,77,74,71,70,83,83,83
922,['G. FERNÁNDEZ'],68,81,78,79,82,75,78,82,61,57,55,83,74,79,77,70,65,76
923,['D. PRAET'],74,80,77,81,78,68,73,75,67,57,69,76,77,79,77,67,71,80
924,['J. LUKAKU'],70,72,75,72,75,62,54,64,63,66,70,75,87,78,62,85,79,86
925,['J. LOCADIA'],80,79,78,68,64,80,61,65,77,50,58,82,80,79,67,80,82,73
926,['R. HAPS'],72,77,75,68,74,56,55,60,68,68,68,70,87,88,78,70,74,85
927,['A. HEGAZI'],55,71,69,67,65,55,59,61,85,82,84,67,69,65,75,86,80,75
928,['A. THOMASSON'],76,79,79,80,79,72,52,67,63,71,70,73,82,81,79,66,65,78
929,['DANILO AVELAR'],67,79,77,71,72,55,80,81,68,75,77,75,75,72,70,75,72,75
930,['L. CASTRO'],75,80,79,79,76,71,66,73,67,62,66,79,78,78,73,76,71,82
931,['V. FISCHER'],78,80,81,77,76,79,78,77,67,55,55,76,77,79,76,70,66,70
932,['LÉO BAPTISTÃO'],80,82,82,74,59,80,60,69,77,47,49,71,78,77,77,72,70,74
933,"[""C. N'JIE""]",80,78,77,75,63,77,63,67,65,52,50,81,94,93,85,66,71,78
934,['R. BOTTA'],72,82,85,75,78,73,76,79,63,49,50,79,80,85,77,61,69,73
935,['T. ROGIĆ'],70,81,83,77,73,75,73,74,68,60,62,79,81,74,79,83,60,74
936,['M. LEMINA'],73,79,79,80,75,64,60,67,74,68,74,76,78,78,70,77,65,78
937,['D. ORIGI'],80,77,79,76,71,77,61,69,73,51,48,78,86,87,75,78,76,76
938,['G. ORTÍZ'],61,66,63,68,64,57,60,60,83,81,79,76,80,78,73,78,80,78
939,['A. BABA'],74,76,75,72,69,59,61,67,60,73,77,64,87,84,73,72,73,78
940,['LUCAS LIMA'],73,83,81,84,83,65,72,80,61,52,55,77,73,80,73,70,57,75
941,['O. TUFAN'],74,76,76,76,75,71,62,70,73,67,74,80,78,77,75,78,71,83
942,['ALAN'],80,79,79,72,66,79,64,72,74,48,45,73,76,80,80,70,85,78
943,['ÉVERTON'],70,81,83,73,76,67,70,75,60,60,65,68,84,90,80,68,65,75
944,['THIAGO MENDES'],74,77,76,77,75,67,74,70,66,74,75,79,77,78,72,75,75,83
945,['HENRIQUE D.'],83,77,72,68,70,80,58,58,86,48,50,82,74,72,71,85,86,80
946,['L. EVANGELISTA'],75,80,81,79,76,66,72,75,69,66,69,76,76,78,71,70,69,81
947,['ALEIX VIDAL'],73,82,81,75,68,66,63,68,60,63,68,77,89,88,77,68,68,78
948,['ALBERTO MORENO'],65,77,74,72,75,61,60,61,60,66,70,77,87,86,77,60,80,80
949,['E. PULGAR'],70,74,71,73,71,65,72,64,77,78,80,78,76,75,72,81,79,82
950,['K. LINETTY'],73,77,77,80,76,68,64,65,62,67,76,73,74,75,80,66,81,82
951,['Ł. TEODORCZYK'],83,75,70,72,67,81,66,67,85,55,53,83,75,69,68,84,83,81
952,['Y. BOLASIE'],69,77,88,68,63,69,60,68,65,65,64,80,86,91,75,84,68,75
953,['G. MURRAY'],85,76,69,74,66,83,68,69,83,57,55,78,66,63,77,83,84,73
954,['A. SAMEDOV'],74,81,81,82,76,67,78,82,65,52,50,77,80,81,72,69,68,77
955,['R. SAPONARA'],76,83,81,79,77,74,70,77,64,54,56,77,75,76,75,73,68,73
956,['Y. SABALY'],71,75,76,75,75,64,58,76,62,78,77,64,79,77,80,65,70,81
957,['J. AMAVI'],67,75,79,75,80,55,52,74,61,72,75,73,83,85,81,64,64,79
958,['A. MITROVIĆ'],82,76,73,69,64,81,67,69,86,51,50,82,70,67,68,86,84,75
959,['R. INGLESE'],83,75,77,69,63,80,64,70,83,48,54,84,74,72,64,84,78,77
960,['J. PALOMINO'],63,73,68,68,66,58,65,63,82,80,83,76,74,72,63,86,77,79
961,['RICARDO HORTA'],76,81,80,79,79,75,70,78,61,52,52,81,77,79,85,60,62,81
962,['M. BORJA'],83,75,71,68,66,82,62,67,80,47,45,80,82,81,64,81,80,82
963,['ADAMA TRAORÉ'],68,79,87,69,73,65,62,68,60,50,46,69,95,93,81,80,77,73
964,['E. MAMMANA'],59,72,68,79,77,58,52,61,80,81,82,72,79,75,73,76,76,77
965,['J. SAND'],85,78,74,68,64,84,64,62,85,43,44,80,75,74,72,83,78,75
966,['J. BRUMA'],62,69,64,69,71,56,66,61,85,78,80,77,76,70,62,85,82,74
967,['A. SOUQUET'],73,76,74,77,76,55,60,71,70,74,76,67,78,79,72,74,74,79
968,['JUANFRAN'],72,75,73,74,76,52,71,70,67,76,67,74,83,78,68,72,75,79
969,['DAVID LÓPEZ'],68,77,63,78,74,65,66,68,71,82,84,80,68,63,72,83,75,83
970,['C. BIRAGHI'],67,72,73,73,78,59,74,78,72,70,73,78,81,78,67,74,71,83
971,['L. PISCULICHI'],75,84,84,80,84,76,83,86,60,43,45,82,68,76,75,66,59,66
972,['R. ARBOLEDA'],63,66,67,70,69,68,63,59,82,84,77,69,75,74,62,80,83,76
973,['D. DRINKWATER'],74,79,73,80,84,66,71,71,65,76,78,80,69,71,78,74,61,83
974,['RAÚL NAVAS'],59,68,60,70,76,59,69,65,85,81,83,75,63,65,65,85,78,76
975,['L. DUNK'],60,73,65,72,76,57,56,58,82,85,81,72,70,66,69,89,77,75
976,['GABRIEL PIRES'],75,82,84,81,79,68,73,74,77,62,67,78,68,66,74,78,70,75
977,['A. CRESSWELL'],65,73,75,73,80,60,70,75,63,74,77,72,75,76,75,64,83,80
978,['B. BOURIGEAUD'],77,78,76,79,80,73,79,78,64,70,69,79,75,76,75,68,73,83
979,['J. LASCELLES'],61,69,65,68,64,55,55,61,83,82,82,70,67,74,70,88,88,78
980,['F. DI FRANCESCO'],77,78,82,74,71,68,69,68,67,54,52,84,84,86,80,66,69,77
981,['L. SPINAZZOLA'],70,77,77,72,76,68,65,70,70,68,65,80,82,82,74,79,73,87
982,['BRUNO'],58,67,56,68,70,54,51,61,84,85,89,74,68,70,55,89,82,75
983,['D. DA SILVA'],62,70,65,73,72,54,60,65,81,80,82,71,74,69,66,80,81,76
984,['C. AUSTIN'],85,76,71,65,62,83,56,64,86,51,48,83,72,69,67,84,83,75
985,['M. DEMBÉLÉ'],76,80,77,71,63,80,62,72,78,47,49,77,83,82,66,86,86,72
986,['MUNIR'],81,82,80,77,71,79,72,74,69,48,52,77,78,80,79,70,61,73
987,['H. HATEBOER'],76,73,74,74,78,66,63,66,72,71,70,72,83,82,68,75,76,89
988,['M. CORNET'],80,74,81,75,72,77,66,72,64,53,52,74,84,83,79,78,69,78
989,['GUSTAVO SCARPA'],81,82,81,80,81,72,85,84,68,57,56,84,74,76,74,70,67,77
990,['S. COOK'],61,76,62,74,67,61,54,56,78,82,81,76,71,72,77,85,81,80
991,['RAÚL SILVA'],69,70,70,72,67,62,61,62,85,76,80,68,69,64,61,86,86,79
992,['C. DANIELS'],62,70,73,74,77,61,75,73,60,69,73,78,81,79,70,75,79,84
993,['S. FRANCIS'],64,72,73,71,75,59,62,57,77,78,80,72,74,75,70,83,76,83
994,['R. FRASER'],72,75,80,72,74,73,70,70,55,55,57,73,89,92,90,61,63,75
995,['B. EMBOLO'],79,79,80,72,70,78,61,63,71,50,52,78,88,87,75,83,74,79
996,['A. CONTI'],74,75,71,74,73,64,58,68,66,72,76,68,83,79,71,64,71,85
997,['N. PALLOIS'],57,68,65,72,72,61,61,60,78,82,83,77,68,66,64,90,79,77
998,['N. ACEVEDO'],70,80,81,78,79,73,74,72,65,65,70,78,72,70,75,73,67,76
999,['A. MENDY'],81,80,81,75,66,76,56,61,74,53,52,78,81,82,80,74,76,81
1000,['F. ANDONE'],82,78,75,69,65,79,65,63,79,47,51,80,80,81,70,77,80,87
1001,['SERGIO LEÓN'],80,76,77,64,58,82,65,73,76,46,66,76,84,84,76,73,80,79
1002,['P. SCHICK'],77,79,83,77,69,76,69,78,77,55,51,76,82,80,71,74,70,73
1003,['BORJA IGLESIAS'],82,77,74,70,64,83,65,66,82,48,52,78,70,66,86,91,73,78
1004,['G. LABORDE'],82,75,74,67,64,81,55,75,82,50,55,80,82,82,80,70,84,77
1005,['R. KARSDORP'],72,73,74,72,74,63,66,66,69,75,76,77,85,84,65,70,72,74
1006,['MARCOS LLORENTE'],64,77,70,80,75,62,63,63,75,80,83,72,70,73,75,81,75,82
1007,['WALLACE'],57,65,66,74,68,57,63,64,80,81,83,72,74,68,68,86,78,76
1008,['DYEGO SOUSA'],80,76,75,72,61,81,68,73,84,55,53,84,71,70,64,83,82,84
1009,['N. RADOJA'],79,76,71,79,79,73,69,69,65,77,81,67,68,72,69,77,67,79
1010,['M. ØDEGAARD'],72,86,87,77,70,70,73,78,60,64,61,76,77,82,87,61,59,72
1011,['M. ALMIRÓN'],70,81,81,78,76,72,72,70,60,50,56,79,90,88,75,62,62,81
1012,['G. FERRARI'],65,70,67,69,64,63,58,58,79,82,80,69,74,71,69,84,82,77
1013,['S. LARSSON'],75,80,82,75,73,72,73,78,65,50,54,75,81,85,77,66,71,76
1014,['C. MCGREGOR'],68,80,77,80,75,72,75,75,64,65,64,76,80,83,85,70,63,87
1015,['JESÚS VALLEJO'],55,73,65,79,77,52,54,53,81,85,83,67,70,78,72,74,79,79
1016,['L. COOK'],72,80,78,80,77,68,71,74,63,69,72,75,73,78,83,73,65,80
1017,['M. MAHI'],77,80,83,74,78,71,75,76,61,54,51,78,78,82,73,65,73,74
1018,['J. BAMBA'],76,75,79,72,68,74,72,75,65,51,53,79,86,87,81,73,72,77
1019,['S. MOUNIÉ'],82,72,72,68,62,79,61,67,85,57,65,78,86,82,76,88,80,72
1020,['R. AGUILAR'],71,75,69,71,72,53,59,75,60,71,74,70,84,85,78,72,72,84
1021,['Y. GÓMEZ'],61,66,64,67,68,58,59,56,80,75,80,80,77,73,74,86,83,80
1022,['J. JANKTO'],75,80,81,78,74,69,73,77,65,59,57,76,82,83,75,72,67,82
1023,['R. LOFTUS-CHEEK'],76,82,83,78,70,65,59,61,70,70,70,74,75,77,76,82,72,80
1024,['E. ELIA'],72,83,86,75,67,72,51,76,62,44,53,76,88,92,78,61,61,75
1025,['RODRIGO DOURADO'],69,77,74,76,74,64,56,66,75,81,86,67,77,72,68,75,77,79
1026,['ANDREI GIROTTO'],66,75,77,78,74,67,63,67,72,80,80,74,77,79,80,75,78,84
1027,['M. TEKDEMIR'],62,79,72,82,81,62,60,70,73,79,79,75,68,70,77,70,76,79
1028,['M. PJACA'],77,80,83,72,72,74,67,69,65,49,48,76,84,85,78,72,64,75
1029,['R. MALINOVSKIY'],70,79,76,75,84,72,87,85,70,60,64,88,71,74,72,73,72,76
1030,['A. MARUŠIĆ'],75,77,77,73,78,65,55,65,70,63,66,78,85,78,66,79,78,86
1031,['E. ÜNAL'],80,77,74,68,65,80,64,65,76,60,53,80,81,79,79,76,81,77
1032,['F. MENDY'],77,68,72,71,79,53,60,78,68,71,69,76,84,83,74,75,71,78
1033,['ANGELIÑO'],77,74,76,71,78,70,80,81,62,68,63,78,80,80,67,71,67,80
1034,['D. VAN DE BEEK'],75,78,77,77,73,74,69,74,74,69,71,78,76,74,76,78,73,79
1035,['M. DIAKHABY'],66,63,65,73,67,60,52,51,86,84,86,68,71,64,62,84,81,77
1036,['DIOGO JOTA'],80,81,79,71,65,75,68,74,65,55,57,78,80,86,80,72,67,83
1037,['B. PITTÓN'],73,76,74,77,75,71,76,75,68,71,61,78,78,80,73,72,72,79
1038,['M. VARGAS'],72,83,85,79,80,73,73,80,59,54,50,72,74,84,81,66,58,72
1039,['JÚNIOR MORAES'],83,80,79,71,61,81,71,68,72,46,49,77,78,81,78,66,73,75
1040,['A. YOUNES'],76,80,85,73,70,72,65,72,63,59,57,72,81,86,84,70,65,76
1041,['V. LINDELÖF'],57,72,68,78,73,56,68,65,80,79,79,73,79,74,62,82,84,79
1042,['N. ELVEDI'],62,69,66,71,66,61,55,63,81,78,79,66,83,78,70,84,83,84
1043,['A. TAMEZE'],68,78,75,78,75,55,50,67,70,80,82,70,77,77,70,80,79,82
1044,['P. CUTRONE'],80,74,72,70,65,83,68,72,77,59,58,74,82,78,72,79,77,78
1045,['C. JULLIEN'],60,69,60,65,70,60,54,53,88,80,81,65,74,73,65,85,90,78
1046,['Y.AIT BENNASSER'],76,79,82,79,81,63,71,70,61,56,60,66,81,83,79,72,66,79
1047,['R. HOLDING'],60,74,68,75,65,55,55,59,77,82,84,69,69,68,79,81,84,79
1048,['S. SENSI'],70,81,77,82,80,60,65,75,56,73,69,69,70,75,82,66,63,81
1049,['A. SZYMANOWSKI'],77,78,78,77,75,76,69,69,66,53,55,74,84,86,77,67,65,77
1050,['B. CHILWELL'],65,76,76,73,78,55,60,67,63,72,74,68,85,86,70,69,75,79
1051,['G. MONTIEL'],68,71,73,73,68,62,58,65,75,67,75,76,82,83,80,74,81,83
1052,['T. OUWEJAN'],71,79,74,77,78,61,59,60,63,74,73,73,79,77,76,72,71,80
1053,['E. PALACIOS'],73,79,80,80,73,71,63,72,62,63,73,78,77,81,79,72,68,85
1054,['M. ROG'],74,78,79,76,72,72,69,73,74,60,69,75,79,78,80,73,76,81
1055,['J. KOUNDÉ'],56,77,75,76,67,47,52,56,72,85,81,68,83,79,75,81,81,80
1056,['G. ACOSTA'],73,76,78,79,80,71,70,74,75,65,68,82,77,81,66,83,70,85
1057,['R. ALIENDRO'],75,79,78,76,73,73,65,72,71,67,71,80,81,78,84,74,75,85
1058,['P. RETSOS'],57,70,61,72,68,56,57,61,80,78,82,72,77,75,73,78,83,79
1059,['R. FREULER'],75,75,72,77,76,67,70,68,68,77,77,79,76,79,73,77,72,84
1060,['A. EL KHAYATI'],76,82,80,75,78,75,77,79,63,58,55,75,76,79,77,69,66,77
1061,['O. SELNÆS'],75,77,74,81,80,66,64,65,65,77,69,75,72,75,76,74,70,87
